3038913,Canals de la Tosa,Canals de la Tosa,,42.59186,1.69687,H,RVN,AD,,2,,,,0,,2485,Europe/Andorra,03-12-14
3038914,Canal de la Tosa,Canal de la Tosa,,42.50878,1.56601,H,STM,AD,,8,,,,0,,1536,Europe/Andorra,06-05-15
3038915,Bosc de la Tosa,Bosc de la Tosa,,42.54986,1.57558,V,FRST,AD,,2,,,,0,,2029,Europe/Andorra,06-02-15
3038916,Canal Torta,Canal Torta,,42.57684,1.51706,H,STM,AD,,5,,,,0,,1357,Europe/Andorra,03-12-14
3038917,Canal Torta,Canal Torta,,42.55184,1.5398,H,STM,AD,,0,,,,0,,1467,Europe/Andorra,06-05-15
3038918,Torrent Tort,Torrent Tort,,42.53072,1.58053,H,STM,AD,,3,,,,0,,1357,Europe/Andorra,06-02-15
3038919,Torretiny√ ,Torretinya,,42.45175,1.51486,L,LCTY,AD,,6,,,,0,,1523,Europe/Andorra,08-04-15
3038920,Prat d‚Äôen Torres,Prat d'en Torres,,42.59851,1.51773,L,GRAZ,AD,,5,,,,0,,1702,Europe/Andorra,03-12-14
3038921,Canals de Torrent Preg√≥,Canals de Torrent Prego,,42.49176,1.49157,H,STM,AD,,7,,,,0,,1032,Europe/Andorra,08-03-15
3038922,Canal de Torrentiny√ ,Canal de Torrentinya,,42.45323,1.51176,H,STM,AD,,6,,,,0,,1335,Europe/Andorra,08-04-15
3038923,Torrentill,Torrentill,,42.47221,1.49478,H,STM,AD,,6,,,,0,,987,Europe/Andorra,08-04-15
3038924,Cam√≠ de Torrent Forcat,Cami de Torrent Forcat,,42.45736,1.51341,R,TRL,AD,,6,,,,0,,1514,Europe/Andorra,06-05-15
3038925,Canal del Torrent Cauber,Canal del Torrent Cauber,,42.60095,1.52226,H,RVN,AD,,5,,,,0,,1763,Europe/Andorra,03-12-14
3038926,Torre dels Soldats,Torre dels Soldats,"Monturull,Pic Monturull,Torre dels Soldats",42.45021,1.58341,T,PK,AD,,0,,,,0,2761,2665,Europe/Andorra,30-03-16
3038927,Torrapuis,Torrapuis,,42.53573,1.52558,L,LCTY,AD,,4,,,,0,,1283,Europe/Andorra,06-02-15
3038928,Pic de Torradella,Pic de Torradella,,42.59369,1.62372,T,PK,AD,,2,,,,0,,2486,Europe/Andorra,05-11-14
3038929,Pala de la Torradella,Pala de la Torradella,,42.59144,1.62356,T,SLP,AD,,2,,,,0,,2410,Europe/Andorra,03-12-14
3038930,Obaga de Torradella,Obaga de Torradella,,42.5952,1.62615,T,SLP,AD,,2,,,,0,,2450,Europe/Andorra,03-12-14
3038931,Canals de Torradella,Canals de Torradella,,42.59343,1.63686,H,STM,AD,,2,,,,0,,1868,Europe/Andorra,03-12-14
3038932,Borda del Torner,Borda del Torner,,42.5815,1.48657,S,FRM,AD,,4,,,,0,,1926,Europe/Andorra,05-11-14
3038933,Planell de la Tora,Planell de la Tora,,42.55261,1.61504,T,UPLD,AD,,2,,,,0,,2022,Europe/Andorra,06-02-15
3038934,Clots de la Tora,Clots de la Tora,,42.46131,1.5772,H,RVN,AD,,8,,,,0,,2386,Europe/Andorra,08-04-15
3038935,Prat del Toni,Prat del Toni,,42.5595,1.6221,L,GRAZ,AD,,2,,,,0,,2223,Europe/Andorra,06-02-15
3038936,Mol√≠ del Tom√ s,Moli del Tomas,,42.57774,1.6505,S,ML,AD,,2,,,,0,,1711,Europe/Andorra,03-12-14
3038937,Cortals de Tolse,Cortals de Tolse,,42.44734,1.47787,S,CRRL,AD,,6,,,,0,,1008,Europe/Andorra,08-04-15
3038938,Bosc de Tolse,Bosc de Tolse,,42.4483,1.47908,V,FRST,AD,,6,,,,0,,980,Europe/Andorra,08-04-15
3038939,Tolse,Tolse,,42.4503,1.48508,S,HUT,AD,,6,,,,0,,891,Europe/Andorra,08-04-15
